City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Manyana,90,AU,1573352433,30,-35.26,150.51,71.01,10.29
Sorland,0,NO,1573352433,65,67.67,12.69,32.97,15.52
Moose Factory,1,CA,1573352433,92,51.26,-80.61,8.6,5.82
Ormara,88,PK,1573352434,47,25.21,64.64,78.08,3.78
Anadyr,75,RU,1573352434,85,64.73,177.51,24.8,11.18
Hay River,20,CA,1573352434,83,60.82,-115.79,-5.81,8.05
Hope,1,US,1573352434,81,33.67,-93.59,46.4,3.36
Lipari,20,IT,1573352434,47,38.47,14.95,55.4,4.7
Kadom,23,RU,1573352434,86,54.57,42.47,33.26,9.06
Limulunga,100,ZM,1573352435,53,-15.13,23.15,74.21,7.0
Balkhash,100,KZ,1573352435,54,46.84,74.98,39.63,8.81
Damietta,20,EG,1573352435,83,31.42,31.81,73.4,11.41
Rajanpur,0,PK,1573352435,25,29.1,70.33,71.92,1.99
Tongren,90,CN,1573352435,55,27.72,109.18,65.55,2.89
Mazagao,40,BR,1573352435,83,-0.12,-51.29,84.2,9.17
Oyem,100,GA,1573352435,99,1.6,11.57,67.78,2.42
Makakilo City,40,US,1573352317,69,21.35,-158.09,84.99,5.82
Boa Vista,75,BR,1573352436,62,2.82,-60.67,86.0,10.29
Matongo,95,BI,1573352436,89,-3.07,29.61,58.46,3.69
Garoua,59,CM,1573352436,41,9.31,13.39,78.08,1.72
Hirara,40,JP,1573352436,47,24.8,125.28,77.0,9.17
Marsh Harbour,51,BS,1573352436,73,26.54,-77.06,74.17,14.63
Horsham,23,AU,1573352436,41,-36.71,142.2,69.28,7.49
Shu,100,KZ,1573352437,53,43.6,73.76,34.0,8.01
Chumikan,0,RU,1573352437,33,54.72,135.31,20.52,14.45
Revda,94,RU,1573352437,96,67.94,34.55,9.16,3.06
Kikwit,100,CD,1573352437,97,-5.04,18.82,70.21,0.85
Orocue,98,CO,1573352437,73,4.79,-71.34,77.77,3.83
Northam,90,AU,1573352438,60,-31.65,116.67,73.4,12.75
Tessalit,73,ML,1573352438,25,20.2,1.01,75.15,4.92
Kouango,10,CF,1573352438,95,4.99,19.98,69.91,0.87
Shellbrook,20,CA,1573352438,55,53.22,-106.39,8.6,8.05
Mandaguacu,100,BR,1573352438,81,-23.35,-52.1,78.01,3.0
Republic,1,US,1573352438,86,48.65,-118.74,39.99,1.92
Biak,88,ID,1573352438,80,-0.91,122.88,80.58,19.53
Limin Khersonisou,20,GR,1573352439,93,35.32,25.39,71.01,2.24
Kutum,68,SD,1573352439,25,14.2,24.66,66.2,6.06
Visby,100,SE,1573352439,100,57.64,18.3,45.0,2.24
Tvoroyri,4,FO,1573352439,64,61.56,-6.81,37.4,9.17
Laguna,20,BZ,1573352439,83,16.17,-88.94,78.8,0.85
Hofn,98,IS,1573352439,77,64.25,-15.21,45.46,24.9
Omsukchan,100,RU,1573352439,96,62.53,155.8,3.49,6.85
Kosice,75,CZ,1573352440,93,50.18,15.53,41.0,2.24
Jumla,0,NP,1573352440,42,29.28,82.18,49.48,0.47
Wala,100,CM,1573352440,91,4.58,12.32,67.82,1.77
Yuncheng,0,CN,1573352440,27,35.03,111.0,60.66,20.13
Yuzhne,90,UA,1573352440,100,48.22,33.85,48.2,13.42
Terrasini,40,IT,1573352440,63,38.15,13.08,64.4,27.51
Hovd,68,NO,1573352441,85,63.83,10.7,24.01,5.82
Chocen,75,CZ,1573352441,93,50.0,16.22,41.0,2.24
Zambezi,96,ZM,1573352441,84,-13.55,23.12,67.59,0.49
Grand Island,1,US,1573352254,37,40.92,-98.34,59.0,6.93
Abashiri,75,JP,1573352441,48,44.01,144.25,41.0,4.7
Siva,20,GR,1573352441,93,35.21,25.04,71.01,2.24
Aklavik,20,CA,1573352442,55,68.22,-135.01,6.8,18.34
Hami,0,CN,1573352442,22,42.84,93.51,42.75,1.48
Dingzhou,0,CN,1573352442,28,38.51,115.0,57.2,4.47
Nur,100,PL,1573352442,89,52.67,22.32,47.16,4.83
Ulaanbaatar,20,MN,1573352442,55,47.92,106.92,32.0,8.95
Beruwala,23,LK,1573352442,75,6.48,79.98,81.61,3.94
Atar,100,MR,1573352443,21,20.52,-13.05,73.13,9.33
Metro,0,ID,1573352443,42,-5.11,105.31,91.42,10.42
Santo Amaro da Imperatriz,75,BR,1573352443,94,-27.69,-48.78,71.6,4.7
Tocopilla,35,CL,1573352443,31,-22.09,-70.2,52.38,1.3
Gat,64,SN,1573352443,78,14.69,-16.54,73.4,14.99
Bafq,0,IR,1573352443,32,31.6,55.4,41.94,2.15
Kroya,20,ID,1573352443,35,-6.5,108.06,93.49,3.65
Energetik,0,RU,1573352444,61,51.74,58.8,24.4,4.25
Tchibanga,100,GA,1573352444,99,-2.92,11.0,73.71,0.87
Charters Towers,1,AU,1573352444,13,-20.07,146.27,93.51,7.16
Pitimbu,20,BR,1573352444,83,-7.47,-34.81,77.0,6.93
Blagoveshchensk,20,RU,1573352444,85,50.29,127.53,19.4,6.04
Sungaipenuh,59,ID,1573352444,56,-2.08,101.38,79.38,2.37
Boyolangu,5,ID,1573352444,47,-8.09,111.9,90.3,9.86
Shahdadkot,0,PK,1573352445,29,27.85,67.91,69.93,2.64
Goundam,100,ML,1573352445,16,16.42,-3.66,79.86,10.6
Kaputa,100,ZM,1573352445,76,-8.47,29.66,68.05,1.16
Natal,20,BR,1573352445,83,-5.81,-35.21,78.8,4.7
Mumford,43,GH,1573352445,93,5.26,-0.76,74.7,3.09
Mocuba,58,MZ,1573352445,97,-16.84,36.99,73.08,2.84
Monrovia,75,LR,1573352445,100,6.33,-10.8,77.0,3.24
Betafo,64,MG,1573352446,68,-19.84,46.86,60.8,2.04
Raudeberg,0,NO,1573352446,63,61.99,5.14,33.01,6.93
Monterey,90,US,1573352446,93,36.6,-121.89,61.0,6.93
Yumen,0,CN,1573352446,23,40.29,97.04,42.76,12.19
Alofi,0,NU,1573352446,69,-19.06,-169.92,80.6,16.11
Sasovo,38,RU,1573352446,85,54.35,41.93,34.99,10.0
Lasa,0,CY,1573352446,45,34.92,32.53,69.8,9.17
Guerrero Negro,100,MX,1573352447,69,27.97,-114.04,69.13,10.98
Ban Phai,0,TH,1573352447,61,16.55,102.46,77.0,6.93
Los Llanos de Aridane,75,ES,1573352447,72,28.66,-17.92,68.0,16.11
Edea,75,CM,1573352447,94,3.8,10.13,73.4,8.05
Yakovlevo,90,RU,1573352447,93,50.85,36.44,46.4,11.18
Elizabeth City,1,US,1573352447,75,36.3,-76.22,42.8,1.03
Mardin,33,TR,1573352447,43,37.32,40.72,49.46,3.78
Sri Aman,75,MY,1573352448,78,1.24,111.46,82.4,3.36
Shetpe,39,KZ,1573352448,42,44.14,52.16,48.34,12.28
Rabat,33,MA,1573352448,93,34.02,-6.83,46.4,8.05
Bantou,100,CN,1573352448,50,26.22,117.49,66.56,3.91
Hlukhiv,100,UA,1573352448,95,51.68,33.91,48.06,12.91
Pasighat,84,IN,1573352449,68,28.06,95.33,74.59,1.45
Erenhot,17,CN,1573352449,48,43.65,111.97,40.5,19.33
Richards Bay,98,ZA,1573352449,80,-28.77,32.06,68.5,16.84
Ordzhonikidze,0,UA,1573352449,68,44.96,35.36,60.87,5.19
Bejar,100,AL,1573352449,87,40.49,19.83,50.74,7.7
Winslow,90,GB,1573352449,100,51.94,-0.88,46.4,12.75
Ust-Tsilma,98,RU,1573352449,92,65.44,52.15,9.68,5.23
Vostok,0,RU,1573352449,52,46.45,135.83,30.11,6.44
Egvekinot,6,RU,1573352450,82,66.32,-179.17,14.56,4.43
Ekhabi,100,RU,1573352450,79,53.51,142.97,26.08,21.25
Del Rio,1,US,1573352348,72,29.36,-100.9,62.6,5.82
Hervey Bay,0,AU,1573352450,8,-25.3,152.85,89.01,9.17
Balkanabat,0,TM,1573352450,23,39.51,54.36,53.02,12.84
Flin Flon,10,CA,1573352450,78,54.77,-101.88,6.64,9.84
Kalga,100,RU,1573352450,82,50.92,118.9,29.8,2.93
Port Hardy,75,CA,1573352450,93,50.7,-127.42,50.0,3.36
Kankon,0,IN,1573352451,75,15.02,74.02,77.95,2.73
Isla Vista,1,US,1573352451,82,34.41,-119.86,63.0,3.36
Collie,74,AU,1573352451,65,-33.36,116.15,72.0,3.0
Pangody,0,RU,1573352451,100,65.85,74.49,-8.92,5.06
Vilyuysk,100,RU,1573352451,94,63.75,121.63,16.02,4.09
